Gene,logFC,pvalue
210663_s_at,-2.595012999999999,0.021244662778469314
210933_s_at,1.6096979999999999,0.011363714270343992
211057_at,1.0871040000000005,0.022999604794900954
211110_s_at,-2.9127690000000004,0.028770423617632206
211138_s_at,-2.0476540000000005,0.041046131402157966
211339_s_at,-2.058656,0.021551813318611345
211379_x_at,1.1906269999999992,0.04019057618311345
211416_x_at,-1.2524389999999999,0.048530966319767485
211417_x_at,-1.1950679999999991,0.049652361970987505
211597_s_at,-2.0775449999999998,0.0170374353351767
211621_at,-1.5521120000000006,0.020230543329932436
211634_x_at,-3.077403999999996,0.03584284383816857
211635_x_at,-2.849356,0.014774935363969297
211639_x_at,-2.115817999999999,0.03999814591311918
211645_x_at,-2.7734640000000006,0.03837443753412504
211656_x_at,-1.2240200000000012,0.027677353301949467
211674_x_at,-2.9712470000000004,0.0255490412201969
211711_s_at,-1.270381999999998,0.017467610382634075
211725_s_at,1.1285820000000024,0.03483363253751464
211767_at,1.8481649999999998,0.025841703259880836
211868_x_at,-2.129261999999999,0.006597550652602039
211883_x_at,-1.5807570000000002,0.018758458261819443
211889_x_at,-1.8743599999999994,0.011153913852638139
211908_x_at,-2.1847850000000015,0.028894063614605652
212154_at,1.5071609999999982,0.03543216230951901
212157_at,1.4414669999999994,0.0326515393422753
212158_at,1.2547859999999993,0.04638410654990622
212486_s_at,-1.0526839999999997,0.014279327447642844
212563_at,1.34931,0.02185636299159632
212763_at,1.1870890000000003,0.01777140511104287
212827_at,-1.681543,0.02271431498109541
212886_at,-1.3438860000000004,0.02430581202094133
213160_at,-1.6324140000000007,0.005724231239374411
213222_at,-2.0252179999999997,0.0306939449783419
213258_at,-1.2601269999999998,0.04569287734721707
213295_at,-1.2756430000000005,0.004520316684919255
213435_at,1.471578,0.013173217879818993
213502_x_at,-1.3533560000000033,0.018328550740034148
213523_at,1.6905269999999994,0.005219011487013978
213524_s_at,-1.0022089999999988,0.0391080129713533
213599_at,1.3231060000000001,0.02687025626898865
213603_s_at,-1.2890890000000006,0.04780561395635956
213674_x_at,-2.5650796,0.03159636886458135
214078_at,1.8806009999999995,0.012883223647969797
214109_at,-1.1090670000000014,0.04231022994307806
214446_at,-1.1706249999999998,0.016584536119541648
214470_at,-1.7990840000000001,0.00530486902879717
214719_at,-1.2419799999999999,0.02691424226169681
214768_x_at,-3.115341000000001,0.0251160239471151
214777_at,-2.697645999999999,0.034307226137526306
214933_at,1.4163870000000007,0.030182394672083102
214973_x_at,-2.8765899999999975,0.03275224910751832
215145_s_at,-1.8512210000000002,0.03724440515413981
215214_at,-2.739008000000002,0.03352414363682495
215512_at,-1.7378859999999992,0.0017318900220858312
215621_s_at,-1.7038,0.03444969253986557
215711_s_at,-1.1249070000000012,0.0005870927338779349
215733_x_at,-1.8193460000000004,0.03323759951107885
215785_s_at,-1.6090980000000012,0.006670640382669677
215949_x_at,-1.6937679999999986,0.0385343074810965
216033_s_at,-1.2249309999999998,0.006515257857156275
216202_s_at,-1.1794350000000007,0.018442049521097802
216207_x_at,-2.151921999999999,0.045835792296826605
216222_s_at,1.0561220999999998,0.007837241603102332
216250_s_at,-1.2824359999999988,0.03135752281025657
216268_s_at,1.0104559999999996,0.015105353600678745
216397_s_at,1.0033699999999994,0.01971580201060201
216401_x_at,-2.287917000000002,0.04946756428463431
216412_x_at,-1.728383,0.027192018527948957
216517_at,-1.0785,0.01203043539287744
216541_x_at,-1.7488389999999998,0.040989736580384094
216542_x_at,-1.9048570000000007,0.03361776383956099
216560_x_at,-3.273397000000001,0.033972184703734185
216576_x_at,-3.0145690000000016,0.02826729750461003
216682_s_at,-1.032005999999999,0.036221797523865874
216920_s_at,-1.8987909999999983,0.04174549768554492
216984_x_at,-2.579594,0.03495320234468049
217022_s_at,-2.403004000000001,0.041787618055612326
217157_x_at,-2.0433010000000014,0.017411259038284468
217188_s_at,-1.0209969999999995,0.007532337105231932
217235_x_at,-2.224893,0.03611917172716653
217281_x_at,-2.323137000000001,0.04176101126770839
217339_x_at,-2.0040310000000003,0.02794736295223724
217360_x_at,-1.5317190000000016,0.029040979249907343
217388_s_at,-2.548777000000003,0.021031319378589805
217418_x_at,-2.0527819999999997,0.04188738904333493
217480_x_at,-2.199254,0.01733423344098516
217678_at,1.3882630000000011,0.04079949902080523
218298_s_at,-1.4275900000000012,0.014982609459726447
218355_at,1.1835510000000022,0.03739196271187926
218692_at,1.7903059999999997,0.014695920955591347
218693_at,-1.0648030000000004,0.04535100079420834
218726_at,1.1988349999999999,0.018163434301307846
218796_at,2.751906000000001,0.006369251838575829
218953_s_at,-1.045255,0.030949762790340743
219207_at,1.0595219999999994,0.002694275040327287
219215_s_at,1.386478000000002,0.019429752819528044
219249_s_at,1.4661409999999995,0.012296416748479921
219288_at,-1.2656139999999994,0.02570165400462676
219414_at,-1.3842050000000006,0.03459376039564333
219505_at,-1.5935430000000022,0.03420042575947509
219522_at,1.5919689999999997,0.006976452791308934
219528_s_at,-1.7915100000000006,0.034775665867326784
219532_at,1.2429270000000008,0.032735766953892
219563_at,-1.2093520000000009,0.030142079050656804
219631_at,1.6804499999999996,0.02134145741309728
219763_at,1.3824130000000001,0.044885051225623813
219882_at,-1.2602349999999993,0.02078679709562106
219936_s_at,1.2040650000000004,0.030251258753474012
220132_s_at,-1.3665979999999998,0.02092007478503428
220254_at,1.0776409999999998,0.048861961468513064
220277_at,-1.1132259999999994,0.03630322093767344
